ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
267;;;;;;;;;Sem filtro;;;
268;;;;;;;;;Sem filtro;;;
269;;;;;;;;;Sem filtro;;;
270;;;;;;;;;Sem filtro;;;
271;;;;;;;;;Sem filtro;;;
272;;;;;;;;;Sem filtro;;;
273;;;;;;;;;Sem filtro;;;
274;;;;;;;;;Sem filtro;;;
275;Poço Escavado-Cacimba;10.00;;;;;;;Sem filtro;;;
276;;;;;;;;;Sem filtro;;;
277;;;;;;;;;Sem filtro;;;
278;;;;;;;;;Sem filtro;;;
279;Poço Tubular;90.00;0.5;;;;11/30/2018;;PVC;;Plástico PVC;
280;Poço Escavado-Cacimba;8.00;1.00;;;;;;Sem filtro;;;
281;Poço Tubular;50.00;1.00;15.00;;;;;Sem filtro;;Plástico PVC;
282;Poço Tubular;60.00;1.00;;;;;;PVC;;Plástico PVC;Tubo auxiliar de medição de nível
283;Poço Tubular;50.00;1.00;15.00;;;;;Sem filtro;;Plástico PVC;
284;Poço Tubular;95.00;1.00;1.5;;;10/17/2013;;PVC;;Plástico PVC;
285;Poço Tubular;35.00;1.00;150.00;;;;;Sem filtro;;Plástico PVC;
286;Poço Tubular;70.00;1.00;;;;;;Sem filtro;1.5;Plástico PVC;
287;Poço Tubular;80.00;1.00;1.5;;;11/14/2019;;Sem filtro;;Plástico PVC;
288;Poço Tubular;77.00;0.5;1.5;;;07/12/2019;;Sem filtro;;Plástico PVC;
289;Poço Tubular;60.00;1.00;;;;;;Sem filtro;;;
290;;;;;;;;;Sem filtro;;;
291;Poço Escavado-Cacimba;12.00;;;;;08/12/2018;;Sem filtro;;Plástico PVC;
292;;;;;;;;;Sem filtro;;;
293;Poço Tubular;70.00;1.00;12.00;;;08/12/2019;;PVC;1.5;Plástico PVC;
294;Poço Tubular;80.00;1.00;12.00;;;;;Sem filtro;;;
295;Poço Tubular;80.00;1.00;12.00;;;;;Sem filtro;;Plástico PVC;
296;Poço Tubular;30.00;1.00;12.00;;;;;PVC;;Plástico PVC;
297;Poço Escavado-Cacimba;4.00;1.00;300.00;;;;;PVC;;PVC;
298;Poço Tubular;80.00;1.00;12.00;;;;;Sem filtro;;;
299;Poço Escavado-Cacimba;3.00;1.00;12.00;;;;;Sem filtro;;;
300;;;;;;;;;Sem filtro;;;
301;Poço Escavado-Cacimba;15.00;1.00;;;;;;Sem filtro;;;
302;Poço Escavado-Cacimba;5.00;1.00;;;;;;Sem filtro;;;
303;Poço Escavado-Cacimba;10.00;1.00;;;;;;Sem filtro;;;
304;Poço Escavado-Cacimba;10.00;1.00;;;;;;Sem filtro;;;
305;;;;;;;;;Sem filtro;;;
306;;;;;;;;;Sem filtro;;;
307;;;;;;;;;Sem filtro;;;
308;;;;;;;;;Sem filtro;;;
309;;;;;;;;;Sem filtro;;;
310;;;;;;;;;Sem filtro;;;
311;;;;;;;;;Sem filtro;;;
312;;;;;;;;;Sem filtro;;;
313;;;;;;;;;Sem filtro;;;
314;;;;;;;;;Sem filtro;;;
315;;;;;;;;;Sem filtro;;;
316;;;;;;;;;Sem filtro;;;
317;;;;;;;;;Sem filtro;;;
318;;;;;;;;;Sem filtro;;;
319;;;;;;;;;Sem filtro;;;
320;;;;;;;;;Sem filtro;;;
321;;;;;;;;;Sem filtro;;;
322;;;;;;;;;Sem filtro;;;
323;;;;;;;;;Sem filtro;;;
324;;;;;;;;;Sem filtro;;;
325;;;;;;;;;Sem filtro;;;
326;;;;;;;;;Sem filtro;;;
327;;;;;;;;;Sem filtro;;;
328;;;;;;;;;Sem filtro;;;
329;;;;;;;;;Sem filtro;;;
330;;;;;;;;;Sem filtro;;;
331;;;;;;;;;Sem filtro;;;
332;;;;;;;;;Sem filtro;;;
333;;;;;;;;;Sem filtro;;;
334;;;;;;;;;Sem filtro;;;
335;;;;;;;;;Sem filtro;;;
336;;;;;;;;;Sem filtro;;;
337;;;;;;;;;Sem filtro;;;
338;;;;;;;;;Sem filtro;;;
