USOS;H0320;H0321;H0322;H0323
900;;;;2.3
901;;;;2.5
902;TRUE;;;1.5
903;;;;2.5
904;;;;3
905;;;;2.6
906;;;;2
907;;;;2.8
908;;;;2.7
909;FALSE;;;2.5
910;;;;3
911;;;;1.8
912;;;;2.5
913;;;;2.4
914;;;;2.5
915;;;;2
916;;;;30000
917;;;;6600
918;;;;11600
919;;;;60000
920;;;;50400
921;;;;15000
922;;;;12000
923;;;;1900
924;;;;15000
925;;;;22800
926;;;;15000
927;;;;17000
928;;;;90000
929;;;;20800
930;;;;25640
931;;;;41800
932;;;;15000
933;;;;54000
934;;;;1726
935;;;;15000
936;;;;10000
937;;;;17000
938;;;;68800
939;;;;80000
940;;;;60000
941;;;;40000
942;;;;36000
943;;;;120000
944;;;;50000
945;;;;20000
946;;;;1440000
947;;;;30000
948;;;;60000
949;;;;70000
950;;;;80000
951;;;;80000
952;;;;50000
953;;;;80000
954;;;;
955;;;;24000
956;;;;30000
957;;;;60000
958;;;;93600
959;;;;500000
960;;;;
961;;;;45000
962;;;;130000
963;;;;35000
964;;;;42000
965;;;;110000
966;;;;40000
967;;;;50000
968;;;;35000
969;;;;30000
970;;;;28000
971;;;;35000
972;;;;20000
973;;;;35000
974;;;;25000
975;;;;20000
976;;;;
977;;;;20000
978;;;;
979;;;;40000
980;;;;100000.00
981;;;;30000
982;;;;
983;;;;20000.00
984;;;;
985;;;;
986;;;;
987;;;;30000
988;;;;45000
989;;;;50
990;;;;30000
991;;;;
992;;;;25000
993;;;;38000
994;;;;38000
995;;;;15000
996;;;;15000
997;;;;20000
998;;;;40000
999;;;;40000
1000;;;;40000
1001;;;;40000
1002;;;;25000
1003;;;;45000
1004;;;;45000
1005;;;;30000
1006;;;;30000
1007;;;;30000
1008;;;;28000
1009;;;;45000
1010;;;;45000
1011;;;;28000
1012;;;;40000
1013;;;;20000
1014;;;;35000
1015;;;;50000
1016;;;;35000
1017;;;;50000
1018;;;;45000
1019;;;;45000
1020;;;;25000
1021;;;;25000
1022;;;;25000
1023;;;;25000
1024;;;;25000
1025;;;;30000
1026;;;;23760
1027;;;;35000
1028;;;;30000
1029;;;;30000
1030;;;;100000
1031;;;;100000
1032;;;;100000
1033;;;;40000
1034;;;;30000
1035;;;;30000
1036;;;;30000
1037;;;;30000
1038;;;;35000
1039;;;;45000
1040;;;;45000
1041;;;;45000
1042;;;;35000
1043;;;;60000
1044;;;;18
1045;;;;20
1046;;;;26
1047;;;;22
1048;;;;12
1049;;;;18
1050;;;;18
1051;;;;10
1052;;;;25
1053;;;;18
1054;;;;21
1055;;;;26
1056;;;;10
1057;;;;22
1058;;;;15
1059;;;;6000
1060;;;;6000
1061;;;;6000
1062;;;;30000
1063;;;;4000
1064;;;;5000
1065;;;;
1066;;;;
1067;;;;3000
1068;;;;3500
1069;;;;3000
1070;;;;3200.00
1071;;;;3200.00
1072;;;;2000.00
1073;;;;2000.00
1074;;;;
1075;;;;2
1076;;;;12800.00
1077;;;;96000.00
1078;;;;96000.00
1079;;;;66000.00
1080;;;;8000.00
1081;;;;96000.00
1082;;;;48000.00
1083;;;;54000
1084;;;;2000.00
1085;;;;72000
1086;;;;3600
1087;;;;
1088;;;;
1089;;;;2500
1090;;;;2600
1091;;;;3000
1092;;;;9000
1093;;;;
1094;;;;5
1095;;;;6.5
1096;;;;7000
1097;;;;5.5
1098;;;;4500
1099;;;;6000
1100;;;;3500
1101;;;;5000
1102;;;;25200
1103;;;;120000
1104;;;;120000
1105;;;;120000
1106;;;;18000
1107;;;;26400
1108;;;;26400
1109;;;;2
1110;;;;30000
1111;;;;3
1112;;;;3
1113;;;;42000
1114;;;;60000
1115;;;;60000
1116;;;;6.5
1117;;;;6.5
1118;;;;6.5
1119;;;;
1120;;;;48000.00
1121;;;;3500
1122;;;;3500
1123;;;;3200
1124;;;;5.6
1125;;;;3500
1126;;;;3.8
1127;;;;5.6
1128;;;;
1129;;;;4000
1130;;;;2500
1131;;;;
1132;;;;2000
1133;;;;5000
1134;;;;3860
1135;;;;2000
1136;;;;2000
1137;;;;2000
1138;;;;2000
1139;;;;2000
1140;;;;2000
1141;;;;2000
1142;;;;5000
1143;;;;4500
1144;;;;4.3
1145;;;;3.5
1146;;;;6
1147;;;;20000
1148;;;;20000
1149;;;;100000
1150;;;;3200
1151;;;;3200
1152;;;;2300
1153;;;;3200
1154;;;;6000
1155;;;;30000
1156;;;;2800
1157;;;;3000
1158;;;;3000
1159;;;;3000
1160;;;;3200
1161;;;;8400
1162;;;;2800
1163;;;;4000
1164;;;;9600
1165;;;;6400
1166;;;;40000
1167;;;;40000
1168;;;;6000
1169;;;;18000
1170;;;;50000
1171;;;;40000
1172;;;;7500
1173;;;;40000
1174;;;;40000
1175;;;;1600
1176;;;;40000
1177;;;;1800
1178;;;;3600
1179;;;;40000
1180;;;;40000
1181;;;;
1182;;;;1600
1183;;;;2250
1184;;;;2000
1185;;;;2520
1186;;;;3833
1187;;;;2016
1188;;;;2500
1189;;;;2500
1190;;;;1500
1191;;;;1200
1192;;;;1250
1193;;;;1200
1194;;;;3360
1195;;;;1200
1196;;;;2640
1197;;;;2500
1198;;;;1500
1199;;;;4000
1200;;;;2500
1201;;;;1250
1202;;;;4000
1203;;;;4000
1204;;;;1360
1205;;;;5825
1206;;;;2300
1207;;;;4166
1208;;;;2358
1209;;;;1980
1210;;;;8000
1211;;;;8000
1212;;;;6000
1213;;;;4000
1214;;;;5400
1215;;;;5000
1216;;;;8136
1217;;;;4500
1218;TRUE;;;8000
1219;;;;7000
1220;;;;4000
1221;;;;5000
1222;;;;8000
1223;;;;6000
1224;;;;7000
1225;;;;6000
1226;;;;6000
1227;;;;6000
1228;;;;10000
1229;;;;8000
1230;;;;8000
1231;;;;9000
1232;;;;10000
1233;;;;8000
1234;;;;9000
1235;TRUE;;;5000
1236;;;;8000
1237;;;;2000
1238;;;;1500
1239;;;;1500
1240;FALSE;;;1300
1241;;;;1300
1242;TRUE;;;1500
1243;;;;1500
1244;;;;2000
1245;;;;2500
1246;;;;1500
1247;FALSE;;;1500
1248;;;;1300
1249;;;;1500
1250;TRUE;;;4000
1251;FALSE;;;10000
1252;;;;2000
1253;;;;1500
1254;;;;1500
1255;FALSE;;;22000
1256;;;;3000
1257;;;;1500
1258;;;;1500
1259;;;;1800
1260;FALSE;;;5000
1261;TRUE;;;2500.00
1262;;;;11000.00
1263;TRUE;;;6000
1264;FALSE;;;5000.00
1265;;;;20000.00
1266;TRUE;;;500.00
1267;FALSE;;;8000.00
1268;FALSE;;;10000.00
1269;TRUE;;;3000
1270;FALSE;;;8000.00
1271;FALSE;;;12000.00
1272;FALSE;;;6000.00
1273;FALSE;;;7000.00
1274;FALSE;;;5000.00
1275;FALSE;;;10000.00
1276;FALSE;;;10000.00
1277;;;;1500
1278;;;;2000
1279;;;;1700
1280;;;;1500
1281;;;;1500
1282;;;;1500
1283;;;;1500
1284;;;;2300
1285;;;;2000
1286;;;;1700
1287;;;;1500
1288;;;;25000
1289;;;;18000
1290;;;;32000
1291;;;;35000
1292;;;;32000
1293;;;;27360
1294;;;;15000
1295;;;;20000
1296;;;;33000
1297;;;;37620
1298;;;;27360
1299;;;;37000
1300;;;;47520
1301;;;;27360
1302;;;;15000
1303;;;;37620
1304;TRUE;;;2000
1305;FALSE;;;
1306;;;;3000
1307;FALSE;;;2500.00
1308;FALSE;;;2500.00
1309;FALSE;;;2000.00
1310;;;;4000.00
1311;FALSE;;;20000.00
1312;TRUE;;;5000.00
1313;FALSE;;;2000.00
1314;FALSE;;;2000.00
1315;FALSE;;;2000.00
1316;FALSE;;;4000.00
1317;FALSE;;;3500.00
1318;FALSE;;;2500.00
1319;FALSE;;;2500.00
1320;FALSE;;;2500.00
1321;FALSE;;;1500.00
1322;FALSE;;;5000.00
1323;FALSE;;;2000.00
1324;FALSE;;;2500.00
1325;FALSE;;;3500.00
1326;FALSE;;;2500.00
1327;FALSE;;;2000.00
1328;FALSE;;;2000.00
1329;FALSE;;;2500.00
1330;FALSE;;;5000.00
1331;FALSE;;;3000.00
1332;FALSE;;;2000.00
1333;FALSE;;;4000.00
1334;;;;4000.00
1335;FALSE;;;15000.00
1336;FALSE;;;5000.00
