CAD;D0000;B0007;D0002;D0003;D0100;D0101
264;Rio Bastiões;23;Não;;-6.6999;-39.7808
265;Rio Bastiões;23;Não;;-6.6712;-39.756
266;Rio Bastiões;23;Não;;-6.6838;-39.7643
267;Açude do Riacho Verde;23;Não;;-6.7491;-39.7793
268;Rio Bastiões;23;Não;;-6.6486;-39.7145
269;Rio Bastiões;23;Não;;-6.6707;-39.7512
270;Rio Bastiões;23;Não;;-6.6728;-39.8281
271;CACHOEIRA ;4;Não;;-6.6819;-39.9869
272;Poço da Cachoeira;4;Não;;-6.7151;-40.0126
273;Rio Conceição ;4;Não;;-6.7788;-40.0696
274;Riacho Conceição ;4;Não;;-6.7762;-40.0675
275;Cacimbão;4;Não;;-6.6839;-39.9929
276;Açude do Carlim;4;Não;;-6.7748;-39.9854
277;Rio do Ednê. Rio Conceição ;4;Não;;-6.754;-40.0435
278;Cacimbão;4;Não;;-6.6873;-40.0357
279;Poço ;2;Não;;-6.6641;-40.2937
280;Cacimba ou Poço;2;Não;;-6.7299;-40.0756
281;Poço tubular;2;Não;;-6.6629;-40.1331
282;Poço tubular;2;Não;;-6.6918;-40.3067
283;Poço tubular;2;Não;;-6.6629;-40.1332
284;Poço tubular;2;Não;;-6.7078;-40.1467
285;Poço tubular;2;Não;;-6.6527;-40.1097
286;Poço tubular;2;Não;;-6.7047;-40.1982
287;Poço tubular;2;Não;;-6.6367;-40.2376
288;Cacimba ou Poço;2;Não;;-6.4398;-40.1545
289;Cacimba ou Poço;2;Não;;-6.6648;-40.2948
290;Rio umbuzeiro ;2;Não;;-6.6503;-40.1104
291;Cacimba ou Poço;2;Não;;-6.6637;-40.2948
292;Cacimba ou Poço;2;Não;;-6.5824;-40.139
293;Cacimba ou Poço;2;Não;;-6.7913;-40.3354
294;Poço tubular;2;Não;;-6.7177;-40.3102
295;Poço tubular;2;Não;;-6.7819;-40.3612
296;Cacimba ou Poço;2;Não;;-6.6941;-40.3015
297;Cacimba ou Poço;2;Não;;-6.4427;-40.1675
298;Poço tubular;2;Não;;-6.7796;-40.3366
299;Cacimba ou Poço;2;Não;;-6.6094;-40.3026
300;Cacimba ou Poço;2;Não;;-6.6396;-40.232
301;POÇO;3;Não;;-7.013569444;-39.69163056
302;POÇO;3;Não;;-7.005869444;-39.73982222
303;POÇO;3;Não;;-7.013102778;-39.69083333
304;POÇO;3;Não;;-7.000981667;-39.69589167
305;RIO SALGADO;12;Não;;-6.297416667;-38.79894444
306;RIO SALGADO;12;Não;;-6.296452778;-38.798825
307;RIO SALGADO;12;Não;;-6.309222222;-38.80113056
308;RIO SALGADO;12;Não;;-6.29345;-38.7975
309;RIO JAGUARIBE;12;Não;;-6.293055556;-38.79727778
310;RIO JAGUARIBE;12;Não;;-6.293069444;-38.79728333
311;RIO JAGUARIBE;12;Não;;-6.27195;-38.81530556
312;RIO JAGUARIBE;12;Não;;-6.266788889;-38.82025
313;RIO JAGUARIBE;12;Não;;-6.269233333;-38.81756111
314;AÇUDE LIMA CAMPOS;12;Não;;-6.390469444;-38.97955556
315;RIO JAGUARIBE;12;Não;;-6.275166667;-38.80972222
316;RIO JAGUARIBE;12;Não;;-6.271827778;-40.36083333
317;RIO JAGUARIBE;12;Não;;-6.273222222;-38.81
